Tempo(s),Setpoint(RPM),Vel(RPM),erro(RPM),Controle,AcaoP,AcaoI
52.5,-160,-106,-54.49,-81.74,-81.74,0.00
52.6,-160,-106,-54.49,-81.74,-81.74,0.00
52.7,-160,-106,-54.49,-81.74,-81.74,0.00
52.9,-160,-107,-52.73,-81.74,-79.10,0.00
53.0,-160,-106,-54.49,-79.10,-81.74,0.00
53.1,-160,-106,-54.49,-81.74,-81.74,0.00
53.2,-160,-106,-54.49,-81.74,-81.74,0.00
53.3,-160,-106,-54.49,-81.74,-81.74,0.00
53.4,-160,-107,-52.73,-81.74,-79.10,0.00
53.5,-160,-106,-54.49,-79.10,-81.74,0.00
53.7,-160,-104,-56.25,-81.74,-84.37,0.00
53.8,-160,-106,-54.49,-84.37,-81.74,0.00
53.9,-160,-104,-56.25,-81.74,-84.37,0.00
54.0,-160,-106,-54.49,-84.37,-81.74,0.00
54.1,-160,-106,-54.49,-81.74,-81.74,0.00
54.2,-160,-106,-54.49,-81.74,-81.74,0.00
54.3,-160,-106,-54.49,-81.74,-81.74,0.00
54.5,-160,-104,-56.25,-81.74,-84.37,0.00
54.6,-160,-104,-56.25,-84.37,-84.37,0.00
54.7,-160,-104,-56.25,-84.37,-84.37,0.00
54.8,-160,-107,-52.73,-84.37,-79.10,0.00
54.9,-160,-107,-52.73,-79.10,-79.10,0.00
55.0,-160,-107,-52.73,-79.10,-79.10,0.00
55.1,-160,-106,-54.49,-79.10,-81.74,0.00
55.3,-160,-106,-54.49,-81.74,-81.74,0.00
55.4,-160,-104,-56.25,-81.74,-84.37,0.00
55.5,-160,-106,-54.49,-84.37,-81.74,0.00
55.6,-160,-106,-54.49,-81.74,-81.74,0.00
55.7,-160,-107,-52.73,-81.74,-79.10,0.00
55.8,-160,-107,-52.73,-79.10,-79.10,0.00
55.9,-160,-106,-54.49,-79.10,-81.74,0.00
