Tempo: 17.82s	Velocidade angular do Motor: -179 RPM	PWM: 251.00	 Pulsos por periodo: -102
Tempo: 17.92s	Velocidade angular do Motor: -176 RPM	PWM: 250.00	 Pulsos por periodo: -100
Tempo: 18.02s	Velocidade angular do Motor: -178 RPM	PWM: 254.00	 Pulsos por periodo: -101
Tempo: 18.12s	Velocidade angular do Motor: -179 RPM	PWM: 252.00	 Pulsos por periodo: -102
Tempo: 18.22s	Velocidade angular do Motor: -176 RPM	PWM: 253.00	 Pulsos por periodo: -100
Tempo: 18.32s	Velocidade angular do Motor: -179 RPM	PWM: 250.00	 Pulsos por periodo: -102
Tempo: 18.42s	Velocidade angular do Motor: -179 RPM	PWM: 250.00	 Pulsos por periodo: -102
Tempo: 18.52s	Velocidade angular do Motor: -176 RPM	PWM: 250.00	 Pulsos por periodo: -100
Tempo: 18.62s	Velocidade angular do Motor: -179 RPM	PWM: 252.00	 Pulsos por periodo: -102
Tempo: 18.72s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 18.82s	Velocidade angular do Motor: -178 RPM	PWM: 249.00	 Pulsos por periodo: -101
Tempo: 18.92s	Velocidade angular do Motor: -179 RPM	PWM: 250.00	 Pulsos por periodo: -102
Tempo: 19.02s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 19.12s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 19.22s	Velocidade angular do Motor: -179 RPM	PWM: 252.00	 Pulsos por periodo: -102
Tempo: 19.32s	Velocidade angular do Motor: -179 RPM	PWM: 251.00	 Pulsos por periodo: -102
Tempo: 19.42s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 19.52s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 19.62s	Velocidade angular do Motor: -179 RPM	PWM: 252.00	 Pulsos por periodo: -102
Tempo: 19.72s	Velocidade angular do Motor: -176 RPM	PWM: 253.00	 Pulsos por periodo: -100
Tempo: 19.82s	Velocidade angular do Motor: -179 RPM	PWM: 251.00	 Pulsos por periodo: -102
Tempo: 19.92s	Velocidade angular do Motor: -178 RPM	PWM: 253.00	 Pulsos por periodo: -101
Tempo: 20.02s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 20.12s	Velocidade angular do Motor: -179 RPM	PWM: 253.00	 Pulsos por periodo: -102
Tempo: 20.22s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 20.32s	Velocidade angular do Motor: -178 RPM	PWM: 252.00	 Pulsos por periodo: -101
Tempo: 20.42s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 20.52s	Velocidade angular do Motor: -178 RPM	PWM: 252.00	 Pulsos por periodo: -101
Tempo: 20.62s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 20.72s	Velocidade angular do Motor: -178 RPM	PWM: 252.00	 Pulsos por periodo: -101
Tempo: 20.82s	Velocidade angular do Motor: -178 RPM	PWM: 253.00	 Pulsos por periodo: -101
Tempo: 20.92s	Velocidade angular do Motor: -178 RPM	PWM: 253.00	 Pulsos por periodo: -101
Tempo: 21.02s	Velocidade angular do Motor: -179 RPM	PWM: 251.00	 Pulsos por periodo: -102
Tempo: 21.12s	Velocidade angular do Motor: -176 RPM	PWM: 253.00	 Pulsos por periodo: -100
Tempo: 21.22s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 21.32s	Velocidade angular do Motor: -179 RPM	PWM: 253.00	 Pulsos por periodo: -102
Tempo: 21.42s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 21.52s	Velocidade angular do Motor: -178 RPM	PWM: 253.00	 Pulsos por periodo: -101
Tempo: 21.62s	Velocidade angular do Motor: -179 RPM	PWM: 252.00	 Pulsos por periodo: -102
Tempo: 21.72s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 21.82s	Velocidade angular do Motor: -178 RPM	PWM: 253.00	 Pulsos por periodo: -101
Tempo: 21.92s	Velocidade angular do Motor: -179 RPM	PWM: 251.00	 Pulsos por periodo: -102
Tempo: 22.02s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 22.12s	Velocidade angular do Motor: -178 RPM	PWM: 253.00	 Pulsos por periodo: -101
Tempo: 22.22s	Velocidade angular do Motor: -179 RPM	PWM: 250.00	 Pulsos por periodo: -102
Tempo: 22.32s	Velocidade angular do Motor: -178 RPM	PWM: 252.00	 Pulsos por periodo: -101
Tempo: 22.42s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 22.52s	Velocidade angular do Motor: -179 RPM	PWM: 252.00	 Pulsos por periodo: -102
Tempo: 22.62s	Velocidade angular do Motor: -176 RPM	PWM: 251.00	 Pulsos por periodo: -100
Tempo: 22.72s	Velocidade angular do Motor: -178 RPM	PWM: 254.00	 Pulsos por periodo: -101
Tempo: 22.82s	Velocidade angular do Motor: -178 RPM	PWM: 253.00	 Pulsos por periodo: -101
Tempo: 22.92s	Velocidade angular do Motor: -176 RPM	PWM: 250.00	 Pulsos por periodo: -100
Tempo: 23.02s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 23.12s	Velocidade angular do Motor: -179 RPM	PWM: 253.00	 Pulsos por periodo: -102
Tempo: 23.22s	Velocidade angular do Motor: -176 RPM	PWM: 250.00	 Pulsos por periodo: -100
Tempo: 23.32s	Velocidade angular do Motor: -178 RPM	PWM: 252.00	 Pulsos por periodo: -101
Tempo: 23.42s	Velocidade angular do Motor: -179 RPM	PWM: 252.00	 Pulsos por periodo: -102
Tempo: 23.52s	Velocidade angular do Motor: -176 RPM	PWM: 250.00	 Pulsos por periodo: -100
Tempo: 23.62s	Velocidade angular do Motor: -178 RPM	PWM: 253.00	 Pulsos por periodo: -101
Tempo: 23.72s	Velocidade angular do Motor: -178 RPM	PWM: 252.00	 Pulsos por periodo: -101
Tempo: 23.82s	Velocidade angular do Motor: -176 RPM	PWM: 251.00	 Pulsos por periodo: -100
Tempo: 23.92s	Velocidade angular do Motor: -179 RPM	PWM: 252.00	 Pulsos por periodo: -102
Tempo: 24.02s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 24.12s	Velocidade angular do Motor: -176 RPM	PWM: 251.00	 Pulsos por periodo: -100
Tempo: 24.22s	Velocidade angular do Motor: -179 RPM	PWM: 251.00	 Pulsos por periodo: -102
Tempo: 24.32s	Velocidade angular do Motor: -176 RPM	PWM: 251.00	 Pulsos por periodo: -100
Tempo: 24.42s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
Tempo: 24.52s	Velocidade angular do Motor: -179 RPM	PWM: 250.00	 Pulsos por periodo: -102
Tempo: 24.62s	Velocidade angular do Motor: -176 RPM	PWM: 250.00	 Pulsos por periodo: -100
Tempo: 24.72s	Velocidade angular do Motor: -178 RPM	PWM: 251.00	 Pulsos por periodo: -101
Tempo: 24.82s	Velocidade angular do Motor: -179 RPM	PWM: 253.00	 Pulsos por periodo: -102
Tempo: 24.92s	Velocidade angular do Motor: -176 RPM	PWM: 250.00	 Pulsos por periodo: -100
Tempo: 25.02s	Velocidade angular do Motor: -178 RPM	PWM: 253.00	 Pulsos por periodo: -101
Tempo: 25.12s	Velocidade angular do Motor: -179 RPM	PWM: 251.00	 Pulsos por periodo: -102
Tempo: 25.22s	Velocidade angular do Motor: -176 RPM	PWM: 252.00	 Pulsos por periodo: -100
Tempo: 25.32s	Velocidade angular do Motor: -179 RPM	PWM: 251.00	 Pulsos por periodo: -102
Tempo: 25.42s	Velocidade angular do Motor: -176 RPM	PWM: 251.00	 Pulsos por periodo: -100
Tempo: 25.52s	Velocidade angular do Motor: -176 RPM	PWM: 252.00	 Pulsos por periodo: -100
Tempo: 25.62s	Velocidade angular do Motor: -178 RPM	PWM: 253.00	 Pulsos por periodo: -101
Tempo: 25.72s	Velocidade angular do Motor: -178 RPM	PWM: 253.00	 Pulsos por periodo: -101
Tempo: 25.82s	Velocidade angular do Motor: -176 RPM	PWM: 250.00	 Pulsos por periodo: -100
Tempo: 25.92s	Velocidade angular do Motor: -179 RPM	PWM: 254.00	 Pulsos por periodo: -102
Tempo: 26.02s	Velocidade angular do Motor: -178 RPM	PWM: 252.00	 Pulsos por periodo: -101
Tempo: 26.12s	Velocidade angular do Motor: -176 RPM	PWM: 253.00	 Pulsos por periodo: -100
Tempo: 26.22s	Velocidade angular do Motor: -179 RPM	PWM: 251.00	 Pulsos por periodo: -102
Tempo: 26.32s	Velocidade angular do Motor: -178 RPM	PWM: 250.00	 Pulsos por periodo: -101
